"SRNumber","CreatedDate","RequestType","Status","Address","Latitude","Longitude","CD","NCName"
"1-3238860451","2023-01-06T09:14:14.000","Bulky Items","Closed","10819 N TELFAIR AVE, 91331","34.2668922616","-118.429344132","7","Pacoima"
"1-3238859411","2023-01-06T09:14:18.000","Bulky Items","Closed","1081 W 39TH PL, 90037","34.0142249395","-118.294105854","8","Empowerment Congress North"
"1-3238858521","2023-01-06T09:14:49.000","Bulky Items","Closed","12655 W FILMORE ST, 91331","34.2810176776","-118.409204133","7","Pacoima"
"1-3238865661","2023-01-06T09:15:03.000","Bulky Items","Closed","1209 W 39TH PL, 90037","34.0142246582","-118.297863459","8","Empowerment Congress North"
"1-3238862881","2023-01-06T09:15:12.000","Bulky Items","Closed","819 S HOLT AVE, 90035","34.0623360257","-118.378605795","5","South Robertson"
"1-3238873191","2023-01-06T09:15:21.000","Illegal Dumping Pickup","Closed","MICHIGAN AVE AT PENNSYLVANIA AVE, 90033","34.0498829399","-118.220626068","14","Boyle Heights"
"1-3238873811","2023-01-06T09:15:28.000","Bulky Items","Closed","6130 S AVALON BLVD, 90003","33.9836398033","-118.26503766","9","CANNDU"
"1-3238880331","2023-01-06T09:16:29.000","Bulky Items","Closed","15303 W VENTURA BLVD, 91403","34.1541156301","-118.466649884","4","Sherman Oaks"
"1-3238881561","2023-01-06T09:16:40.000","Bulky Items","Closed","2338 N SAN MARCO DR, 90068","34.1137311144","-118.331227284","4","Hollywood United"
"1-3238889851","2023-01-06T09:18:30.000","Graffiti Removal","Closed","4616 S CENTRAL AVE, 90011","34.0017089632","-118.256398015","9","Central Alameda"
"1-3238889858","2023-01-06T09:18:30.000","Graffiti Removal","Closed","4600 S CENTRAL AVE, 90011","34.0020311412","-118.256399243","9","Central Alameda"
"1-3238889880","2023-01-06T09:18:31.000","Graffiti Removal","Closed","4701 S CENTRAL AVE, 90011","34.0006542951","-118.256773006","9","Zapata-King"
"1-3238889894","2023-01-06T09:18:31.000","Graffiti Removal","Closed","4801 S CENTRAL AVE, 90011","34.0001558825","-118.256768933","9","Zapata-King"
"1-3238889866","2023-01-06T09:18:31.000","Graffiti Removal","Closed","4622 S CENTRAL AVE, 90011","34.0016656073","-118.256397867","9","Central Alameda"
"1-3238889887","2023-01-06T09:18:31.000","Graffiti Removal","Closed","4756 S CENTRAL AVE, 90011","34.0002907563","-118.256393186","9","Central Alameda"
"1-3238889873","2023-01-06T09:18:31.000","Graffiti Removal","Closed","4619 S CENTRAL AVE, 90011","34.0011850027","-118.256785157","9","Zapata-King"
"1-3238895902","2023-01-06T09:18:32.000","Graffiti Removal","Closed","5225 S CENTRAL AVE, 90011","33.9952060832","-118.256673229","9","Zapata-King"
"1-3238895916","2023-01-06T09:18:32.000","Graffiti Removal","Closed","5405 S CENTRAL AVE, 90011","33.9931994257","-118.256652634","9","Zapata-King"
"1-3238895909","2023-01-06T09:18:32.000","Graffiti Removal","Closed","5401 S CENTRAL AVE, 90011","33.9932955142","-118.256662778","9","Zapata-King"
"1-3238893141","2023-01-06T09:18:46.000","Bulky Items","Closed","13488 W MAXELLA AVE, 90292","33.985912194","-118.442565971","11","Del Rey"
"1-3238896771","2023-01-06T09:18:57.000","Bulky Items","Closed","8419 S AVALON BLVD, 90003","33.9622801731","-118.265401076","9","Empowerment Congress Southeast"
"1-3238899081","2023-01-06T09:18:58.000","Bulky Items","Closed","232 W 107TH ST, 90003","33.9390817839","-118.277344862","8","Empowerment Congress Southeast"
"1-3238901331","2023-01-06T09:19:11.000","Illegal Dumping Pickup","Pending","632 E 83RD ST, 90001","33.963641718","-118.263856244","9","CANNDU"
"1-3238904041","2023-01-06T09:19:27.000","Bulky Items","Closed","3300 W BELLEVUE AVE, 90026","34.0787080508","-118.280349086","13","Silver Lake"
"1-3238904961","2023-01-06T09:19:40.000","Bulky Items","Closed","714 E 25TH ST, 90011","34.0220925854","-118.260270398","9","South Central"
"1-3238910181","2023-01-06T09:20:07.000","Graffiti Removal","Closed","11480 N LEHIGH AVE, 91340","34.2786604972","-118.42686128","7","Pacoima"
"1-3238910641","2023-01-06T09:20:11.000","Bulky Items","Closed","4231 N ALLOTT AVE, 91423","34.1468265361","-118.428469755","4","Sherman Oaks"
"1-3238921511","2023-01-06T09:20:40.000","Illegal Dumping Pickup","Closed","6610 W FOOTHILL BLVD, 91042","34.2464121054","-118.276486123","7","Sunland-Tujunga"
"1-3238930831","2023-01-06T09:21:14.000","Bulky Items","Closed","2600 W IVAN HILL TER, 90039","34.1046104214","-118.260439852","4","Silver Lake"
"1-3238926791","2023-01-06T09:21:14.000","Illegal Dumping Pickup","Closed","Q ST AT DRUMM AVE, 90744","33.7958960643","-118.241369657","15","Wilmington"
"1-3238936191","2023-01-06T09:21:24.000","Bulky Items","Closed","21041 W RUNNYMEDE ST, 91303","34.2057074474","-118.592107093","3","Canoga Park"
"1-3238931011","2023-01-06T09:21:29.000","Bulky Items","Closed","2222 S FEDERAL AVE, 90064","34.0350725724","-118.445583618","11","West LA - Sawtelle"
"1-3238941531","2023-01-06T09:21:50.000","Bulky Items","Closed","1272 W 16TH ST, 90731","33.7298502887","-118.304929979","15","Northwest San Pedro"
"1-3238938801","2023-01-06T09:22:01.000","Bulky Items","Closed","6012 W 83RD PL, 90045","33.9628297929","-118.389873681","11","Westchester/Playa"
"1-3238942421","2023-01-06T09:22:06.000","Bulky Items","Closed","923 E COLDEN AVE, 90002","33.9494146958","-118.257852162","8","Empowerment Congress Southeast"
"1-3238945611","2023-01-06T09:22:32.000","Bulky Items","Closed","420 S ALEXANDRIA AVE, 90020","34.0664472303","-118.297800063","10","Wilshire Center-Koreatown"
"1-3238956521","2023-01-06T09:23:04.000","Bulky Items","Closed","1640 W ROCKWOOD ST, 90026","34.0650619083","-118.264486111","13","Echo Park"
"1-3238963318","2023-01-06T09:23:36.000","Graffiti Removal","Closed","5717 S CENTRAL AVE, 90011","33.9902553867","-118.256662643","9","Zapata-King"
"1-3238963311","2023-01-06T09:23:36.000","Graffiti Removal","Closed","5511 S CENTRAL AVE, 90011","33.9922042914","-118.256647528","9","Zapata-King"
"1-3238963364","2023-01-06T09:23:37.000","Graffiti Removal","Closed","5413 S MAIN ST, 90037","33.9928696142","-118.27414789","9","Zapata-King"
"1-3238963350","2023-01-06T09:23:37.000","Graffiti Removal","Closed","5511 S AVALON BLVD, 90011","33.9920957707","-118.265417827","9","Zapata-King"
"1-3238963357","2023-01-06T09:23:37.000","Graffiti Removal","Closed","546 S MAIN ST, 90013","34.045489276","-118.249320303","14","Downtown Los Angeles"
"1-3238963326","2023-01-06T09:23:37.000","Graffiti Removal","Closed","5626 S AVALON BLVD, 90011","33.9913131369","-118.26511832","9","Zapata-King"
"1-3238963343","2023-01-06T09:23:37.000","Graffiti Removal","Closed","5620 S AVALON BLVD, 90011","33.9913629548","-118.265118469","9","Zapata-King"
"1-3238963372","2023-01-06T09:23:38.000","Graffiti Removal","Closed","5407 S MAIN ST, 90037","33.9930674654","-118.274148229","9","Zapata-King"
"1-3238966611","2023-01-06T09:23:38.000","Bulky Items","Closed","6254 N JUMILLA AVE, 91367","34.1841992034","-118.56348173","3","Woodland Hills-Warner Center"
"1-3238967971","2023-01-06T09:24:11.000","Bulky Items","Pending","1525 N GOWER ST, 90028","34.0984825579","-118.322607371","13","Hollywood Studio District"
